"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년","2학년","3학년","특수학급","순회학급","학급수(계)","학생수(계)","학급당학생수"
"충청남도교육청","충청남도홍성교육지원청","충청남도 홍성군","S120001205","홍성서부중학교","03","공립","N","","1","1","1","0","0","3(0)","27(0)","9"
"충청남도교육청","충청남도홍성교육지원청","충청남도 홍성군","S120001206","홍성여자중학교","03","공립","N","","7","6","7","2","0","22(2)","519(10)","23.6"
"충청남도교육청","충청남도홍성교육지원청","충청남도 홍성군","S120001207","홍성중학교","03","공립","N","","4","4","4","2","0","14(2)","275(12)","19.6"
"충청남도교육청","충청남도홍성교육지원청","충청남도 홍성군","S120001208","홍주중학교","03","사립","N","","4","4","4","0","0","12(0)","260(0)","21.7"
"충청남도교육청","충청남도천안교육지원청","충청남도 천안시 서북구","S120002459","천안오성중학교","03","공립","N","","9","9","10","1","0","29(1)","841(4)","29"
"충청남도교육청","충청남도천안교육지원청","충청남도 천안시 서북구","S120002460","천안성성중학교","03","공립","N","","10","9","10","0","0","29(0)","883(0)","30.4"
"충청남도교육청","충청남도천안교육지원청","충청남도 천안시 서북구","S120002461","천안백석중학교","03","공립","N","","10","8","11","2","0","31(2)","905(12)","29.2"
"충청남도교육청","충청남도천안교육지원청","충청남도 천안시 동남구","S120002462","천안신방중학교","03","공립","N","","11","13","12","2","0","38(2)","1034(12)","27.2"
"충청남도교육청","충청남도천안교육지원청","충청남도 천안시 서북구","S120002508","천안불당중학교","03","공립","N","","12","12","12","0","0","36(0)","1134(0)","31.5"
"충청남도교육청","충청남도천안교육지원청","충청남도 천안시 동남구","S120002509","천안용곡중학교","03","공립","N","","12","11","13","2","0","38(2)","1104(11)","29.1"
"충청남도교육청","충청남도천안교육지원청","충청남도 천안시 서북구","S120002510","천안월봉중학교","03","공립","N","","12","11","11","1","0","35(1)","1072(6)","30.6"
"충청남도교육청","충청남도아산교육지원청","충청남도 아산시","S120002523","온양용화중학교","03","공립","N","","9","10","12","3","0","34(3)","863(20)","25.4"
"충청남도교육청","충청남도서산교육지원청","충청남도 서산시","S120002524","서산석림중학교","03","공립","N","","7","7","7","2","0","23(2)","609(12)","26.5"
"충청남도교육청","충청남도서산교육지원청","충청남도 서산시","S120002525","서산명지중학교","03","공립","N","","1","1","1","0","0","3(0)","48(0)","16"
"충청남도교육청","충청남도논산계룡교육지원청","충청남도 계룡시","S120002545","계룡중학교","03","공립","N","","9","9","8","2","0","28(2)","659(8)","23.5"
"충청남도교육청","충청남도아산교육지원청","충청남도 아산시","S120002556","온양신정중학교","03","공립","N","","5","8","9","3","0","25(3)","541(20)","21.6"
"충청남도교육청","충청남도아산교육지원청","충청남도 아산시","S120002601","아산배방중학교","03","공립","N","","12","12","11","2","0","37(2)","1004(10)","27.1"
"충청남도교육청","충청남도당진교육지원청","충청남도 당진시","S120002660","원당중학교","03","공립","N","","12","11","11","2","0","36(2)","977(11)","27.1"
